image,label
WLFIUSDT_4h/WLFIUSDT_4h_001.png,0
WLFIUSDT_4h/WLFIUSDT_4h_002.png,1
WLFIUSDT_4h/WLFIUSDT_4h_003.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_004.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_005.png,1
WLFIUSDT_4h/WLFIUSDT_4h_006.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_007.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_008.png,1
WLFIUSDT_4h/WLFIUSDT_4h_009.png,1
WLFIUSDT_4h/WLFIUSDT_4h_010.png,1
WLFIUSDT_4h/WLFIUSDT_4h_011.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_012.png,1
WLFIUSDT_4h/WLFIUSDT_4h_013.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_014.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_015.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_016.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_017.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_018.png,1
WLFIUSDT_4h/WLFIUSDT_4h_019.png,1
WLFIUSDT_4h/WLFIUSDT_4h_020.png,1
WLFIUSDT_4h/WLFIUSDT_4h_021.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_022.png,-1
WLFIUSDT_4h/WLFIUSDT_4h_023.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_000.png,0
WLFIUSDT_1d/WLFIUSDT_1d_001.png,1
WLFIUSDT_1d/WLFIUSDT_1d_002.png,1
WLFIUSDT_1d/WLFIUSDT_1d_003.png,0
WLFIUSDT_1d/WLFIUSDT_1d_004.png,1
WLFIUSDT_1d/WLFIUSDT_1d_005.png,0
WLFIUSDT_1d/WLFIUSDT_1d_006.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_007.png,0
WLFIUSDT_1d/WLFIUSDT_1d_008.png,0
WLFIUSDT_1d/WLFIUSDT_1d_009.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_010.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_011.png,0
WLFIUSDT_1d/WLFIUSDT_1d_012.png,1
WLFIUSDT_1d/WLFIUSDT_1d_013.png,1
WLFIUSDT_1d/WLFIUSDT_1d_014.png,1
WLFIUSDT_1d/WLFIUSDT_1d_015.png,0
WLFIUSDT_1d/WLFIUSDT_1d_016.png,1
WLFIUSDT_1d/WLFIUSDT_1d_017.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_018.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_019.png,0
WLFIUSDT_1d/WLFIUSDT_1d_020.png,1
WLFIUSDT_1d/WLFIUSDT_1d_021.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_022.png,-1
WLFIUSDT_1d/WLFIUSDT_1d_023.png,0
